Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,source,Overs,Mdns,BBM,10
M Muralitharan (Asia/ICC/SL),1993-2011,350,341,18811,12326,534,7/30,23.08,3.93,35.2,15,10,Bowling_ODI.csv,,,,
Wasim Akram (PAK),1984-2003,356,351,18186,11812,502,5/15,23.52,3.89,36.2,17,6,Bowling_ODI.csv,,,,
Waqar Younis (PAK),1989-2003,262,258,12698,9919,416,7/36,23.84,4.68,30.5,14,13,Bowling_ODI.csv,,,,
WPUJC Vaas (Asia/SL),1994-2008,322,320,15775,11014,400,8/19,27.53,4.18,39.4,9,4,Bowling_ODI.csv,,,,
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,372,17670,13632,395,7/12,34.51,4.62,44.7,4,9,Bowling_ODI.csv,,,,
SM Pollock (Afr/ICC/SA),1996-2008,303,297,15712,9631,393,6/35,24.5,3.67,39.9,12,5,Bowling_ODI.csv,,,,
GD McGrath (AUS/ICC),1993-2007,250,248,12970,8391,381,7/15,22.02,3.88,34.0,9,7,Bowling_ODI.csv,,,,
B Lee (AUS),2000-2012,221,217,11185,8877,380,5/22,23.36,4.76,29.4,14,9,Bowling_ODI.csv,,,,
SL Malinga (SL),2004-2019,226,220,10936,9760,338,6/38,28.87,5.35,32.3,11,8,Bowling_ODI.csv,,,,
A Kumble (Asia/INDIA),1990-2007,271,265,14496,10412,337,6/12,30.89,4.3,43.0,8,2,Bowling_ODI.csv,,,,
ST Jayasuriya (Asia/SL),1989-2011,445,368,14874,11871,323,6/29,36.75,4.78,46.0,8,4,Bowling_ODI.csv,,,,
J Srinath (INDIA),1991-2003,229,227,11935,8847,315,5/23,28.08,4.44,37.8,7,3,Bowling_ODI.csv,,,,
DL Vettori (ICC/NZ),1997-2015,295,277,14060,9674,305,5/7,31.71,4.12,46.0,8,2,Bowling_ODI.csv,,,,
SK Warne (AUS/ICC),1993-2005,194,191,10642,7541,293,5/33,25.73,4.25,36.3,12,1,Bowling_ODI.csv,,,,
AB Agarkar (INDIA),1998-2007,191,188,9484,8021,288,6/42,27.85,5.07,32.9,10,2,Bowling_ODI.csv,,,,
Saqlain Mushtaq (PAK),1995-2003,169,165,8770,6275,288,5/20,21.78,4.29,30.4,11,6,Bowling_ODI.csv,,,,
Z Khan (Asia/INDIA),2000-2012,200,197,10097,8301,282,5/42,29.43,4.93,35.8,7,1,Bowling_ODI.csv,,,,
JH Kallis (Afr/ICC/SA),1996-2014,328,283,10750,8680,273,5/30,31.79,4.84,39.3,2,2,Bowling_ODI.csv,,,,
AA Donald (SA),1991-2003,164,162,8561,5926,272,6/23,21.78,4.15,31.4,11,2,Bowling_ODI.csv,,,,
Abdul Razzaq (Asia/PAK),1996-2011,265,254,10941,8564,269,6/35,31.83,4.69,40.6,8,3,Bowling_ODI.csv,,,,
JM Anderson (ENG),2002-2015,194,191,9584,7861,269,5/23,29.22,4.92,35.6,11,2,Bowling_ODI.csv,,,,
Harbhajan Singh (Asia/INDIA),1998-2015,236,227,12479,8973,269,5/31,33.35,4.31,46.3,2,3,Bowling_ODI.csv,,,,
Mashrafe Mortaza (Asia/BDESH),2001-2019,217,217,10789,8759,266,6/26,32.92,4.87,40.5,7,1,Bowling_ODI.csv,,,,
M Ntini (ICC/SA),1998-2009,173,171,8687,6559,266,6/22,24.65,4.53,32.6,8,4,Bowling_ODI.csv,,,,
Shakib Al Hasan (BDESH),2006-2019,206,203,10517,7857,260,5/29,30.21,4.48,40.4,8,2,Bowling_ODI.csv,,,,
N Kapil Dev (INDIA),1978-1994,225,221,11202,6945,253,5/43,27.45,3.71,44.2,3,1,Bowling_ODI.csv,,,,
Shoaib Akhtar (Asia/ICC/PAK),1998-2011,163,162,7764,6169,247,6/16,24.97,4.76,31.4,6,4,Bowling_ODI.csv,,,,
KD Mills (NZ),2001-2015,170,169,8230,6485,240,5/25,27.02,4.72,34.2,8,1,Bowling_ODI.csv,,,,
MG Johnson (AUS),2005-2015,153,150,7489,6038,239,6/31,25.26,4.83,31.3,9,3,Bowling_ODI.csv,,,,
HH Streak (Afr/ZIM),1993-2005,189,185,9468,7129,239,5/32,29.82,4.51,39.6,7,1,Bowling_ODI.csv,,,,
D Gough (ENG/ICC),1994-2006,159,156,8470,6209,235,5/44,26.42,4.39,36.0,10,2,Bowling_ODI.csv,,,,
